n_training_samples,n_test_samples,significance_threshold,true_positive_rate,false_negative_rate,true_negative_rate,false_positive_rate
1000,100,1.0,1.0,0.0,0.0,1.0
1000,100,2.0,1.0,0.0,0.0,1.0
1000,100,3.0,1.0,0.0,0.0,1.0
1000,100,4.0,1.0,0.0,0.0,1.0
1000,100,5.0,1.0,0.0,0.0,1.0
1000,100,6.0,1.0,0.0,0.0,1.0
1000,100,7.0,1.0,0.0,0.0,1.0
1000,100,8.0,1.0,0.0,0.0,1.0
1000,100,9.0,1.0,0.0,0.06,0.94
1000,100,10.0,1.0,0.0,0.3,0.7
1000,100,11.0,1.0,0.0,0.7,0.3
1000,100,12.0,1.0,0.0,0.98,0.02
1000,100,13.0,1.0,0.0,1.0,0.0
1000,100,14.0,1.0,0.0,1.0,0.0
1000,100,15.0,1.0,0.0,1.0,0.0
1000,100,16.0,1.0,0.0,1.0,0.0
1000,100,17.0,1.0,0.0,1.0,0.0
1000,100,18.0,1.0,0.0,1.0,0.0
1000,100,19.0,1.0,0.0,1.0,0.0
1000,100,20.0,1.0,0.0,1.0,0.0
1000,100,1.0,1.0,0.0,0.0,1.0
1000,100,2.0,1.0,0.0,0.0,1.0
1000,100,3.0,1.0,0.0,0.0,1.0
1000,100,4.0,1.0,0.0,0.0,1.0
1000,100,5.0,1.0,0.0,0.0,1.0
1000,100,6.0,1.0,0.0,0.0,1.0
1000,100,7.0,1.0,0.0,0.0,1.0
1000,100,8.0,1.0,0.0,0.0,1.0
1000,100,9.0,1.0,0.0,0.0,1.0
1000,100,10.0,1.0,0.0,0.2,0.8
1000,100,11.0,1.0,0.0,0.68,0.32
1000,100,12.0,1.0,0.0,0.98,0.02
1000,100,13.0,1.0,0.0,1.0,0.0
1000,100,14.0,1.0,0.0,1.0,0.0
1000,100,15.0,1.0,0.0,1.0,0.0
1000,100,16.0,1.0,0.0,1.0,0.0
1000,100,17.0,1.0,0.0,1.0,0.0
1000,100,18.0,1.0,0.0,1.0,0.0
1000,100,19.0,1.0,0.0,1.0,0.0
1000,100,20.0,1.0,0.0,1.0,0.0
